model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
lenet4,mnist,dr,50,0.9679,1.0,0,0.03210000000000002,0.9896482412060301,0.02190954773869347
lenet4,mnist,dr,100,0.9679,0.99,1,0.02210000000000001,0.9882828282828283,0.020606060606060628
lenet4,mnist,dr,150,0.9679,0.9866666666666667,2,0.01876666666666671,0.989238578680203,0.021624365482233454
lenet4,mnist,dr,200,0.9679,0.985,3,0.017100000000000004,0.9877551020408163,0.02020408163265297
lenet4,mnist,ces,50,0.9679,0.96,2,0.007900000000000018,0.9894472361809046,0.02150753768844227
lenet4,mnist,ces,100,0.9679,0.93,7,0.037899999999999934,0.9891919191919192,0.020909090909090877
lenet4,mnist,ces,150,0.9679,0.9533333333333334,7,0.014566666666666617,0.9900507614213198,0.02192893401015228
lenet4,mnist,ces,200,0.9679,0.98,4,0.0121,0.9908163265306122,0.02316326530612245
lenet4,mnist,mcp,50,0.9679,0.34,33,0.6278999999999999,0.9903517587939699,0.01929648241206028
lenet4,mnist,mcp,100,0.9679,0.45,55,0.5179,0.99,0.01686868686868681
lenet4,mnist,mcp,150,0.9679,0.5333333333333333,70,0.43456666666666666,0.9911675126903553,0.01664974619289339
lenet4,mnist,mcp,200,0.9679,0.55,90,0.41789999999999994,0.990204081632653,0.013775510204081631
lenet4,mnist,est,50,0.9679,0.68,16,0.28789999999999993,0.9902512562814071,0.020904522613065413
lenet4,mnist,est,100,0.9679,0.74,26,0.2279,0.9931313131313131,0.02292929292929291
lenet4,mnist,est,150,0.9679,0.6733333333333333,49,0.29456666666666664,0.9940101522842639,0.021624365482233454
lenet4,mnist,est,200,0.9679,0.735,53,0.2329,0.9952040816326531,0.022551020408163258
lenet4,mnist,rnd,50,0.9679,0.94,3,0.027900000000000036,0.9955778894472361,0.02753768844221105
lenet4,mnist,rnd,100,0.9679,0.94,6,0.027900000000000036,0.9924242424242424,0.024242424242424288
lenet4,mnist,rnd,150,0.9679,0.9733333333333334,4,0.005433333333333401,0.9932994923857869,0.025482233502538087
lenet4,mnist,rnd,200,0.9679,0.975,5,0.007099999999999995,0.9945918367346939,0.026836734693877595
lenet4,mnist,ent,50,0.9679,0.42,29,0.5479,0.9933668341708543,0.02271356783919598
lenet4,mnist,ent,100,0.9679,0.47,53,0.4979,0.9933333333333333,0.020404040404040313
lenet4,mnist,ent,150,0.9679,0.5133333333333333,73,0.4545666666666667,0.9928934010152284,0.018071065989847646
lenet4,mnist,ent,200,0.9679,0.545,91,0.42289999999999994,0.995,0.018469387755101985
lenet4,mnist,gini,50,0.9679,0.42,29,0.5479,0.9933668341708543,0.02271356783919598
lenet4,mnist,gini,100,0.9679,0.46,54,0.5079,0.9942424242424243,0.021212121212121238
lenet4,mnist,gini,150,0.9679,0.5133333333333333,73,0.4545666666666667,0.9956345177664975,0.020812182741116736
lenet4,mnist,gini,200,0.9679,0.535,93,0.43289999999999995,0.9934693877551021,0.016734693877551
lenet4,mnist,dat,50,0.9679,0.98,1,0.0121,0.9933668341708543,0.025527638190954716
lenet4,mnist,dat,100,0.9679,0.94,6,0.027900000000000036,0.9925252525252525,0.024343434343434334
lenet4,mnist,dat,150,0.9679,0.98,3,0.0121,0.9939092477921023,0.026190234493959963
lenet4,mnist,dat,200,0.9679,0.965,7,0.0029000000000000137,0.9929599020508112,0.02499744923987357
lenet4,mnist,gd,50,0.9679,0.94,3,0.027900000000000036,0.9939698492462311,0.025929648241206027
lenet4,mnist,gd,100,0.9679,0.97,3,0.0020999999999999908,0.9932323232323232,0.02535353535353535
lenet4,mnist,gd,150,0.9679,0.9533333333333334,7,0.014566666666666617,0.9931986600345143,0.025073596589178737
lenet4,mnist,gd,200,0.9679,0.965,7,0.0029000000000000137,0.9923469387755102,0.02438775510204083
lenet4,mnist,kmnc,50,0.9679,0.92,4,0.04789999999999994,0.9944723618090452,0.026331658291457227
lenet4,mnist,kmnc,100,0.9679,0.96,4,0.007900000000000018,0.9944444444444445,0.026464646464646524
lenet4,mnist,kmnc,150,0.9679,0.9533333333333334,7,0.014566666666666617,0.9945177664974619,0.02639593908629445
lenet4,mnist,kmnc,200,0.9679,0.965,7,0.0029000000000000137,0.9940816326530613,0.026122448979591928
lenet4,mnist,nac,50,0.9679,0.86,7,0.1079,0.9939698492462311,0.025527638190954716
lenet4,mnist,nac,100,0.9679,0.87,13,0.09789999999999999,0.9947474747474747,0.025858585858585803
lenet4,mnist,nac,150,0.9679,0.9066666666666666,14,0.06123333333333336,0.9934010152284264,0.024568527918781724
lenet4,mnist,nac,200,0.9679,0.915,17,0.05289999999999995,0.9938775510204082,0.024897959183673546
