model,test_set,selection_metric,budget,mse
epoch,udacity_C,dr,150,0.02110023982822895
epoch,udacity_C,dr,200,0.021376246586441994
epoch,udacity_C,ces,50,0.18826940655708313
epoch,udacity_C,ces,100,0.16656208038330078
epoch,udacity_C,ces,150,0.15452571213245392
epoch,udacity_C,ces,200,0.15738648176193237
epoch,udacity_C,est,50,0.3413153886795044
epoch,udacity_C,est,100,0.23095804452896118
epoch,udacity_C,est,150,0.17594404518604279
epoch,udacity_C,est,200,0.15472793579101562
epoch,udacity_label,pace,50,0.042337819933891296
epoch,udacity_label,pace,100,0.03442417457699776
epoch,udacity_label,pace,150,0.031049858778715134
epoch,udacity_label,pace,200,0.02979857288300991
epoch,udacity_label,dr,50,0.0030571455135941505
epoch,udacity_label,dr,100,0.0029190927743911743
epoch,udacity_label,dr,150,0.013411951251327991
epoch,udacity_label,dr,200,0.018181070685386658
epoch,udacity_label,ces,50,0.058887384831905365
epoch,udacity_label,ces,100,0.03800737485289574
epoch,udacity_label,ces,150,0.04065253958106041
epoch,udacity_label,ces,200,0.05101728439331055
epoch,udacity_label,est,50,0.02782389707863331
epoch,udacity_label,est,100,0.025351321324706078
epoch,udacity_label,est,150,0.025718048214912415
epoch,udacity_label,est,200,0.026403680443763733
epoch,udacity_adv,pace,50,0.19522511959075928
epoch,udacity_adv,pace,100,0.16952908039093018
epoch,udacity_adv,pace,150,0.1549062281847
epoch,udacity_adv,pace,200,0.1539495885372162
epoch,udacity_adv,dr,50,0.6284316182136536
epoch,udacity_adv,dr,100,0.4214947521686554
epoch,udacity_adv,dr,150,0.5594624280929565
epoch,udacity_adv,dr,200,0.6027124524116516
epoch,udacity_adv,ces,50,3.119802474975586
epoch,udacity_adv,ces,100,3.0490310192108154
epoch,udacity_adv,ces,150,2.9929418563842773
epoch,udacity_adv,ces,200,2.984762668609619
epoch,udacity_adv,est,50,5.267688751220703
epoch,udacity_adv,est,100,4.773879528045654
epoch,udacity_adv,est,150,4.195400238037109
epoch,udacity_adv,est,200,3.7907729148864746
epoch,udacity_dave,pace,50,0.03015110455453396
epoch,udacity_dave,pace,100,0.02139616198837757
epoch,udacity_dave,pace,150,0.018405793234705925
epoch,udacity_dave,pace,200,0.018275773152709007
epoch,udacity_dave,dr,50,0.029332900419831276
epoch,udacity_dave,dr,100,0.038467198610305786
epoch,udacity_dave,dr,150,0.04136437177658081
epoch,udacity_dave,dr,200,0.042898859828710556
epoch,udacity_dave,ces,50,0.026449881494045258
epoch,udacity_dave,ces,100,0.034522924572229385
epoch,udacity_dave,ces,150,0.039662837982177734
epoch,udacity_dave,ces,200,0.04214515537023544
epoch,udacity_dave,est,50,0.11061563342809677
epoch,udacity_dave,est,100,0.08326812833547592
epoch,udacity_dave,est,150,0.08754652738571167
epoch,udacity_dave,est,200,0.08421839028596878
