Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold
7,0.33648666739463806,0.4838553756319832,0.41017102151331064,28,3,udacity_label,ent,50,epoch,0.131
7,0.5421088337898254,0.5663690392328723,0.5542389365113489,59,6,udacity_label,ent,100,epoch,0.131
10,0.40333083271980286,0.3336318605543075,0.3684813466370552,61,5,udacity_label,ent,150,epoch,0.131
10,0.5997568368911743,0.48175207434762235,0.5407544556193984,73,6,udacity_label,ent,200,epoch,0.131
8,0.29828694462776184,0.2339773096178276,0.2661321271227947,32,2,udacity_label,gini,50,epoch,0.131
9,0.6051443219184875,0.6061288706216562,0.6056365962700718,62,3,udacity_label,gini,100,epoch,0.131
13,0.4559859335422516,0.28582581375760713,0.37090587364992933,87,7,udacity_label,gini,150,epoch,0.131
16,0.550999104976654,0.42178637337615155,0.4863927391764028,110,3,udacity_label,gini,200,epoch,0.131
6,0.24312026798725128,0.20157947024253842,0.22234986911489485,28,3,udacity_label,gd,50,epoch,0.131
13,0.355255663394928,0.24732203607049263,0.3012888497327103,45,4,udacity_label,gd,100,epoch,0.131
14,0.3068884015083313,0.20825408866050932,0.2575712450844203,69,12,udacity_label,gd,150,epoch,0.131
21,0.43672293424606323,0.3927080814981243,0.41471550787209377,77,12,udacity_label,gd,200,epoch,0.131
7,0.23157669603824615,,,21,1,udacity_label,kmnc,50,epoch,0.131
11,0.37273091077804565,0.3618100414722104,0.36727047612512803,38,3,udacity_label,kmnc,100,epoch,0.131
15,0.39238956570625305,0.26131228338573964,0.32685092454599635,60,5,udacity_label,kmnc,150,epoch,0.131
21,0.31642404198646545,0.24218239373124822,0.2793032178588568,76,12,udacity_label,kmnc,200,epoch,0.131
6,0.16492502391338348,0.1464838105642623,0.1557044172388229,24,4,udacity_label,nac,50,epoch,0.131
5,0.7058654427528381,,,40,1,udacity_label,nac,100,epoch,0.131
10,0.5683300495147705,0.4705887918434563,0.5194594206791134,71,2,udacity_label,nac,150,epoch,0.131
15,0.638884961605072,0.6178508089659772,0.6283678852855246,104,2,udacity_label,nac,200,epoch,0.131
8,0.1912350207567215,0.08904228325221059,0.14013865200446604,24,6,udacity_label,lsa,50,epoch,0.131
12,0.3569713532924652,0.30814549612274,0.3325584247076026,48,3,udacity_label,lsa,100,epoch,0.131
13,0.40558528900146484,0.15756653533094953,0.2815759121662072,62,4,udacity_label,lsa,150,epoch,0.131
18,0.37887904047966003,0.21675358927452293,0.2978163148770915,84,4,udacity_label,lsa,200,epoch,0.131
7,0.2906918227672577,,,23,1,udacity_label,std,50,epoch,0.131
12,0.27243563532829285,0.2155351803427803,0.24398540783553657,44,4,udacity_label,std,100,epoch,0.131
20,0.38803085684776306,0.25973117053445716,0.3238810136911101,66,8,udacity_label,std,150,epoch,0.131
15,0.3845055401325226,0.3366626326282235,0.36058408638037304,94,3,udacity_label,std,200,epoch,0.131
2,0.10530394315719604,-0.1500174938518106,-0.022356775347307276,16,12,udacity_label,pace,50,epoch,0.131
9,0.2805105745792389,0.20924069725313288,0.24487563591618589,35,4,udacity_label,pace,100,epoch,0.131
14,0.2520451843738556,0.2394589774620772,0.2457520809179664,59,3,udacity_label,pace,150,epoch,0.131
18,0.3879964053630829,0.25666709188078307,0.322331748621933,82,9,udacity_label,pace,200,epoch,0.131
7,0.27412524819374084,0.3252515743539692,0.29968841127385504,18,2,udacity_label,dr,50,epoch,0.175
14,0.3117442727088928,0.2870122894144247,0.29937828106165876,36,5,udacity_label,dr,100,epoch,0.175
14,0.30291813611984253,0.2864818883215793,0.2947000122207109,50,7,udacity_label,dr,150,epoch,0.175
18,0.38100263476371765,0.22892885828738188,0.30496574652554975,63,9,udacity_label,dr,200,epoch,0.175
7,0.2870382070541382,,,22,1,udacity_label,ces,50,epoch,0.175
10,0.3670988082885742,0.34681997452669516,0.35695939140763466,32,2,udacity_label,ces,100,epoch,0.175
11,0.42918017506599426,,,52,1,udacity_label,ces,150,epoch,0.175
20,0.3061894476413727,0.1990743209835956,0.2526318843124841,69,12,udacity_label,ces,200,epoch,0.175
3,0.18133102357387543,0.0508967228068167,0.11611387319034606,12,0,udacity_label,est,50,epoch,0.175
7,0.2700098156929016,0.19577856424230083,0.23289418996760122,33,3,udacity_label,est,100,epoch,0.175
11,0.33206817507743835,0.2266065477891312,0.2793373614332848,42,8,udacity_label,est,150,epoch,0.175
20,0.4083755314350128,0.307000673436246,0.35768810243562943,81,10,udacity_label,est,200,epoch,0.175
6,0.23018798232078552,0.027826488292112588,0.12900723530644906,17,4,udacity_label,rnd,50,epoch,0.175
14,0.38168779015541077,0.3060009495038478,0.3438443698296293,41,5,udacity_label,rnd,100,epoch,0.175
12,0.3045870065689087,0.27376662179758215,0.2891768141832454,52,8,udacity_label,rnd,150,epoch,0.175
17,0.39167657494544983,,,63,1,udacity_label,rnd,200,epoch,0.175
4,0.23363225162029266,0.320678707606903,0.2771554796135978,15,2,udacity_label,ent,50,epoch,0.175
