Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
21,0.4900417625904083,0.38793734460377277,0.4389895535970906,124,8,udacity,ent,150,dave2v1,0.087,
33,0.47746020555496216,0.38426978044984056,0.43086499300240133,164,9,udacity,ent,200,dave2v1,0.087,
2,0.15622591972351074,0.13023113368599998,0.14322852670475536,8,4,udacity,gini,50,dave2v1,0.087,
5,0.13850264251232147,,,18,1,udacity,gini,100,dave2v1,0.087,
10,0.3719661235809326,0.3035632369582445,0.33776468026958856,29,3,udacity,gini,150,dave2v1,0.087,
11,0.4393169581890106,0.38882735126806856,0.4140721547285396,36,2,udacity,gini,200,dave2v1,0.087,
8,0.2487206608057022,0.07265689728232705,0.16068877904401463,30,4,udacity,gd,50,dave2v1,0.087,
21,0.31053289771080017,0.1723941161413418,0.241463506926071,65,8,udacity,gd,100,dave2v1,0.087,
22,0.31546270847320557,0.2114996482268346,0.26348117835002005,98,8,udacity,gd,150,dave2v1,0.087,
25,0.39578163623809814,0.2515195166848994,0.32365057646149875,120,12,udacity,gd,200,dave2v1,0.087,
10,0.33301180601119995,0.23067323861408878,0.2818425223126444,40,7,udacity,kmnc,50,dave2v1,0.087,
16,0.3683149814605713,0.2582712773449364,0.31329312940275383,80,9,udacity,kmnc,100,dave2v1,0.087,
13,0.3452485203742981,0.16495014467295407,0.2550993325236261,119,2,udacity,kmnc,150,dave2v1,0.087,
26,0.4774031639099121,0.3404108566454741,0.4089070102776931,159,7,udacity,kmnc,200,dave2v1,0.087,
9,0.3308566212654114,0.2238563055677869,0.27735646341659914,42,3,udacity,nac,50,dave2v1,0.087,
19,0.4752523601055145,0.38457226063088545,0.4299123103682,81,4,udacity,nac,100,dave2v1,0.087,
28,0.41535648703575134,0.29437811323903595,0.35486730013739365,122,10,udacity,nac,150,dave2v1,0.087,
30,0.5134146809577942,0.43579622356659176,0.474605452262193,159,10,udacity,nac,200,dave2v1,0.087,
10,0.31756484508514404,0.11506826625265665,0.21631655566890035,37,3,udacity,lsa,50,dave2v1,0.087,
19,0.22409741580486298,0.12165961480969875,0.17287851530728088,78,11,udacity,lsa,100,dave2v1,0.087,
19,0.4897013306617737,0.39530165624435404,0.4425014934530639,125,5,udacity,lsa,150,dave2v1,0.087,
35,0.3435429036617279,0.18597652700650927,0.2647597153341186,164,10,udacity,lsa,200,dave2v1,0.087,
7,0.20362488925457,0.08796820734849067,0.14579654830153033,24,9,udacity,std,50,dave2v1,0.087,
12,0.3008955717086792,0.22668634305296595,0.2637909573808226,66,4,udacity,std,100,dave2v1,0.087,
25,0.3017778992652893,0.22856452429597368,0.2651712117806315,84,8,udacity,std,150,dave2v1,0.087,
20,0.28560858964920044,0.15946009948774628,0.22253434456847337,117,11,udacity,std,200,dave2v1,0.087,
7,0.2153327465057373,0.17330699366818214,0.19431987008695972,24,2,udacity,pace,50,dave2v1,0.087,
18,0.2696065306663513,0.16568755355063797,0.21764704210849464,61,10,udacity,pace,100,dave2v1,0.087,
21,0.29761046171188354,0.16433745227570531,0.23097395699379442,87,13,udacity,pace,150,dave2v1,0.087,
